,Date,Open,High,Low,Close,Volume,Close_Change,Open_Change,High_Change,Low_Change,Volume_Change,AO,ROC,RSI,StochRSI,StochOsc,TSI,CMF,ATR,BB_HL,BB_LH,CCI,Ratio_EMA5,Ratio_EMA20,Ratio_EMA5_Change,Ratio_EMA20_Change,MACD,MACD_Signal,MACD_Diff
0,2017-12-18,20650.0,20650.0,18345.0,19100.0,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75488069414317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-12-19,19135.0,19725.0,17180.0,18200.0,559,-0.04712041884816753,-0.07336561743341408,-0.044794188861985496,-0.06350504224584352,-0.46963946869070206,0.0,0.0,0.0,0.0,29.394812680115272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017-12-20,17745.0,18350.0,16435.0,17040.0,784,-0.06373626373626373,-0.07264175594460409,-0.06970849176172367,-0.04336437718277064,0.4025044722719142,0.0,0.0,0.0,0.0,14.35349940688019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-12-21,16400.0,17270.0,15080.0,15330.0,879,-0.10035211267605637,-0.07579599887292199,-0.05885558583106265,-0.0824459993915424,0.12117346938775508,0.0,0.0,0.0,0.0,4.488330341113106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017-12-22,15595.0,15825.0,12265.0,14135.0,2374,-0.07795172863666011,-0.049085365853658525,-0.08367110596409955,-0.18667108753315653,1.700796359499431,0.0,0.0,0.0,0.0,22.301729278473463,0.0,0.0,0.0,0.0,0.0,0.0,0.8718232801452865,0.0,0.0,0.0,0.0,0.0,0.0
5,2017-12-26,13900.0,16100.0,13700.0,15785.0,406,0.11673151750972766,-0.10868868226995831,0.017377567140600236,0.11699959233591528,-0.8289806234203876,0.0,0.0,0.0,0.0,41.97972570065593,0.0,0.0,0.0,0.0,0.0,0.0,0.9822386792706487,0.0,0.12664883083526024,0.0,0.0,0.0,0.0
6,2017-12-27,15655.0,16545.0,14460.0,14690.0,507,-0.06936965473550838,0.12625899280575537,0.027639751552795078,0.05547445255474459,0.24876847290640391,0.0,0.0,0.0,0.0,28.920691711389384,0.0,0.0,0.0,0.0,0.0,0.0,0.9410460548862466,0.0,-0.04193748958755039,0.0,0.0,0.0,0.0
7,2017-12-28,15150.0,15280.0,13360.0,13745.0,746,-0.06432947583390058,-0.032258064516129004,-0.07645814445451793,-0.07607192254495154,0.4714003944773175,0.0,0.0,0.0,0.0,17.65056648777579,0.0,0.0,0.0,0.0,0.0,0.0,0.9170348419252586,0.0,-0.02551544936224237,0.0,0.0,0.0,0.0
8,2017-12-29,13965.0,15005.0,13835.0,14470.0,1078,0.05274645325572935,-0.07821782178217818,-0.01799738219895286,0.03555389221556893,0.44504021447721187,0.0,0.0,0.0,0.0,26.29695885509839,0.0,0.0,0.0,0.0,0.0,0.0,0.9766677262753107,0.0,0.0650279374607583,0.0,0.0,0.0,0.0
9,2018-01-02,13955.0,15245.0,13080.0,14855.0,734,0.026606772633033904,-0.0007160759040458764,0.01599466844385211,-0.05457173834477769,-0.31910946196660483,0.0,0.0,0.0,0.0,30.888491353607634,0.0,0.0,0.0,0.0,0.0,0.0,1.0017675714013996,0.0,0.025699472247139088,0.0,0.0,0.0,0.0
10,2018-01-03,14900.0,15450.0,14650.0,14975.0,719,0.008078088185796028,0.0677176639197421,0.013447031813709431,0.12003058103975528,-0.02043596730245234,0.0,0.0,0.0,0.0,32.319618366129994,0.0,0.0,0.0,0.0,0.0,0.0,1.0065517588109412,0.0,0.004775745937601883,0.0,0.0,0.0,0.0
