Date,Symbol,Open_Predictions,Open_True,High_Predictions,High_True,bought,sold,profit,Predicted_Profit,True_Profit,Low_Predictions,Low_True,Close_Predictions,Close_True,Median_Price_Predictions,Median_Price_True
2017-06-23,CNQ.TO,28.015719766528658,27.910265074382576,28.219895814343786,28.28723213964109,0,0,0.0,0.7287910127480046,1.3506395021827018,27.808656359550497,27.755043680316337,27.992345188784384,27.9398307800293,28.025090782028467,28.021137909978712
2017-06-26,CNQ.TO,28.129551724864083,28.139405800190726,28.27906828349117,28.139405800190726,0,0,0.0,0.5315284085914698,0.0,27.931319107914838,27.55547587114313,28.09640639364352,27.740262985229492,28.10157759937774,27.84744083566693
2017-06-27,CNQ.TO,27.964258410415766,27.902873546470477,28.079833615198222,28.043312079957705,0,0,0.0,0.4132961549926364,0.5033120809343643,27.688115584454433,27.52590650202976,27.895720215193705,27.77721786499023,27.807774055368533,27.784609290993732
2017-06-28,CNQ.TO,28.05189429434133,27.86591957339683,28.067411934997352,28.538546647765962,0,0,0.0,0.05531762130999596,2.413798233349084,27.85868397928264,27.585042460092893,27.932882191161298,28.279842376708984,27.888310445260533,28.061794553929424
2017-06-29,CNQ.TO,28.605565267449165,28.42028820511662,28.661374617337426,28.508988233326143,0,0,0.0,0.19509962263100533,0.31210108627102784,28.495447302618203,27.792012412171957,28.43832342506994,28.154193878173828,28.42700297668993,28.150500322749046
2017-06-30,CNQ.TO,28.47402806416231,28.13940162140648,28.4132786559294,28.331578694519564,0,0,0.0,-0.21335024358344867,0.6829465519511615,28.091914464522265,27.496340371962475,28.311970788742656,27.658954620361328,28.118373560497215,27.91395953324102
2017-07-04,CNQ.TO,28.01210588739088,27.998962461604773,28.174692296500034,28.065486739373004,0,0,0.0,0.5804148026669225,0.23759551040312488,27.565040184595986,27.42242831708631,27.813956195915125,27.747653961181644,27.81689001782867,27.743957528229657
2017-07-05,CNQ.TO,28.13844980446701,27.599822619929224,28.20258547084383,27.7033054697857,0,0,0.0,0.22792892580257273,0.37494027147026543,27.70729949843557,26.912415637069387,27.903152610387224,27.222858428955078,27.86532689122927,27.307860553427545
2017-07-06,CNQ.TO,27.4662209309224,27.245033264160156,27.626218716384454,27.725480340173373,0,0,0.0,0.5825256625745681,1.7634299483320035,27.056323102505413,27.10459471093524,27.375416108935497,27.24503326416016,27.357107498147368,27.41503752555431
2017-07-07,CNQ.TO,27.537473921792298,27.06763957121568,27.810504933258542,27.075029558988767,0,0,0.0,0.9914889515344214,0.02730192913070084,27.22800731943765,26.53545105555211,27.39771521255352,26.853286743164062,27.6457869108551,26.805240307270438
