Date,Symbol,Open_Predictions,Open_True,High_Predictions,High_True,bought,sold,profit,Predicted_Profit,True_Profit,Low_Predictions,Low_True,Close_Predictions,Close_True,Median_Price_Predictions,Median_Price_True
2017-06-22,ENB.TO,35.689335486161646,35.610208759909455,36.02771707201055,36.50539840789757,0,0,0.0,0.9481308106173998,2.5138567819797117,35.231062946153166,35.476283765849736,35.52121542624968,36.37852096557617,35.74388244521777,35.99084108687366
2017-06-23,ENB.TO,36.384496370819534,36.29394100337342,36.64712291212402,36.92127804528397,0,0,0.0,0.7218089227562245,1.7284897273962088,35.80471164339177,36.14591551134478,36.21721898468559,36.80849838256836,36.3518947026802,36.533596778314376
2017-06-26,ENB.TO,36.76648518978044,36.977666754237525,37.04442367784053,37.111594453120986,0,0,0.0,0.7559561013935223,0.3621853692759487,36.155524422810224,36.65342555809311,36.642231509600606,36.970619201660156,36.67137176244547,36.882510005607045
2017-06-27,ENB.TO,37.02255865504218,37.02700247682225,37.1743141647301,37.323050732104775,0,0,0.0,0.40990011279851046,0.799546913007191,36.47955069232921,36.81554097383696,36.80201137318636,37.182075500488274,36.837863331468505,37.06929585297087
2017-06-28,ENB.TO,37.0699900591627,37.30895921284947,37.45433932980811,37.37239794329897,0,0,0.0,1.036820538748458,0.17003618376909913,36.64424788632961,36.963569971762354,37.01162789793807,37.04815673828125,37.074395384074755,37.16798395753066
2017-06-29,ENB.TO,37.096618662462674,37.0058660707605,37.40979881847802,37.0058660707605,0,0,0.0,0.8442283078814654,0.0,36.780986343423784,36.526551780828854,36.877863722849725,36.582942962646484,37.04218556517257,36.76620892579467
2017-06-30,ENB.TO,36.62866122530265,36.84374207917928,36.90821657415638,36.86488742598289,0,0,0.0,0.7632147599776715,0.057391962950376296,36.345689220789765,36.18820943947437,36.41454627995972,36.41376876831055,36.55885517362514,36.52654843272863
2017-07-04,ENB.TO,36.529784820560934,36.99175652570585,36.828007631948076,37.01995210765898,0,0,0.0,0.8163826117565378,0.07622125738618024,36.05287154950083,36.20934660421827,36.24601842317975,36.5406379699707,36.40645890863829,36.614649355938624
2017-07-05,ENB.TO,36.760327857895234,36.491307896385756,37.073337646790904,36.5406488350355,0,0,0.0,0.8514880229188293,0.1352128534001622,36.25007700842328,35.88511614854094,36.37222911418962,36.17411422729492,36.580710804266275,36.21288249178822
2017-07-06,ENB.TO,36.414337175865896,36.033139487278056,36.58597721273265,36.519504016566934,0,0,0.0,0.4713529070646132,1.3497700622522473,35.804913080271334,35.94855540391981,36.00735579917114,36.272796630859375,36.148903697574745,36.234029710243384
