Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
1995-02-22,2.3580049004319426,2.404679536819458,2.3580049004319426,2.404679536819458,87500,0.0,0.0,DPM.TO
1995-02-23,2.404679536819458,2.404679536819458,2.380408681385506,2.404679536819458,222000,0.0,0.0,DPM.TO
1995-02-24,2.427083401890659,2.427083401890659,2.380408763885498,2.380408763885498,29000,0.0,0.0,DPM.TO
1995-02-27,2.404679536819458,2.404679536819458,2.380408681385506,2.404679536819458,35500,0.0,0.0,DPM.TO
1995-02-28,2.4270833608936244,2.4737582206726074,2.4270833608936244,2.4737582206726074,29500,0.0,0.0,DPM.TO
1995-03-01,2.4737582695696814,2.4737582695696814,2.4513542652130127,2.4513542652130127,20000,0.0,0.0,DPM.TO
1995-03-02,2.4270833608936244,2.4737582206726074,2.4270833608936244,2.4737582206726074,27000,0.0,0.0,DPM.TO
1995-03-03,2.451354349458067,2.4737583545846884,2.4270834922790527,2.4270834922790527,38500,0.0,0.0,DPM.TO
1995-03-06,2.4270834922790527,2.4270834922790527,2.4046797097146695,2.4270834922790527,13000,0.0,0.0,DPM.TO
1995-03-07,2.4737583963951693,2.567107677459717,2.4737583963951693,2.567107677459717,126000,0.0,0.0,DPM.TO
1995-03-08,2.544703960418701,2.567107743941951,2.5204331022009105,2.544703960418701,55500,0.0,0.0,DPM.TO
1995-03-09,2.567107677459717,2.5913785350489476,2.567107677459717,2.567107677459717,36500,0.0,0.0,DPM.TO
1995-03-10,2.591378688812256,2.613782473084661,2.5671078297828775,2.591378688812256,38500,0.0,0.0,DPM.TO
1995-03-13,2.591378688812256,2.613782473084661,2.591378688812256,2.591378688812256,18000,0.0,0.0,DPM.TO
1995-03-14,2.6137824906317033,2.6847279934391413,2.5913787062088955,2.660457134246826,67000,0.0,0.0,DPM.TO
1995-03-15,2.6380533498240184,2.660457134246826,2.6380533498240184,2.660457134246826,24000,0.0,0.0,DPM.TO
1995-03-16,2.660457047954495,2.660457047954495,2.6137824058532715,2.6137824058532715,36500,0.0,0.0,DPM.TO
1995-03-17,2.591378622157134,2.6380532642583576,2.591378622157134,2.6137824058532715,33000,0.0,0.0,DPM.TO
1995-03-20,2.6137824058532715,2.6380532642583576,2.6137824058532715,2.6137824058532715,34500,0.0,0.0,DPM.TO
1995-03-21,2.591378688812256,2.613782473084661,2.591378688812256,2.591378688812256,21000,0.0,0.0,DPM.TO
1995-03-22,2.6137823179919906,2.6137823179919906,2.544703894516674,2.567107677459717,15500,0.0,0.0,DPM.TO
1995-03-23,2.567107677459717,2.5913785350489476,2.567107677459717,2.567107677459717,20000,0.0,0.0,DPM.TO
1995-03-24,2.591378602159742,2.591378602159742,2.544703960418701,2.544703960418701,47000,0.0,0.0,DPM.TO
1995-03-27,2.544703894516674,2.567107677459717,2.544703894516674,2.567107677459717,13500,0.0,0.0,DPM.TO
1995-03-28,2.567107763752048,2.6137824058532715,2.567107763752048,2.6137824058532715,23000,0.0,0.0,DPM.TO
1995-03-29,2.6137824058532715,2.6137824058532715,2.567107763752048,2.6137824058532715,70000,0.0,0.0,DPM.TO
1995-03-30,2.6137823575990518,2.7314027205973916,2.5913785743165203,2.707131862640381,205500,0.0,0.0,DPM.TO
1995-03-31,2.800481147267612,2.8714266465185845,2.7780773639678955,2.7780773639678955,108000,0.0,0.0,DPM.TO
1995-04-03,2.7780773639678955,2.8247520052432398,2.7780773639678955,2.7780773639678955,66000,0.0,0.0,DPM.TO
1995-04-04,2.7780772092391874,2.7780772092391874,2.753806352615357,2.7538063526153564,22000,0.0,0.0,DPM.TO
1995-04-05,2.7538061777853278,2.7538061777853278,2.7071315420728075,2.7314023971557617,50000,0.0,0.0,DPM.TO
1995-04-06,2.753806505992267,2.800481147267612,2.731402722692551,2.7780773639678955,76500,0.0,0.0,DPM.TO
1995-04-07,2.7780773639678955,2.800481147267612,2.753806505992267,2.7780773639678955,93500,0.0,0.0,DPM.TO
1995-04-10,2.753806503879923,2.753806503879923,2.707131862640381,2.707131862640381,22500,0.0,0.0,DPM.TO
1995-04-11,2.707131862640381,2.7314027205973916,2.707131862640381,2.707131862640381,21000,0.0,0.0,DPM.TO
1995-04-12,2.7314023971557617,2.7538061777853278,2.7314023971557617,2.7314023971557617,41500,0.0,0.0,DPM.TO
1995-04-13,2.7538061777853278,2.7538061777853278,2.7071315420728075,2.7314023971557617,40000,0.0,0.0,DPM.TO
1995-04-17,2.731402722692551,2.7780773639678955,2.731402722692551,2.7780773639678955,92500,0.0,0.0,DPM.TO
1995-04-18,2.7780773639678955,2.7780773639678955,2.753806505992267,2.7780773639678955,79500,0.0,0.0,DPM.TO
1995-04-19,2.7780773639678955,2.800481147267612,2.753806505992267,2.7780773639678955,74000,0.0,0.0,DPM.TO
1995-04-20,2.778077032868282,2.778077032868282,2.7314023971557617,2.7314023971557617,63000,0.0,0.0,DPM.TO
1995-04-21,2.7071315420728075,2.7538061777853278,2.7071315420728075,2.7314023971557617,40000,0.0,0.0,DPM.TO
1995-04-24,2.753806505992267,2.7780773639678955,2.731402722692551,2.7780773639678955,34500,0.0,0.0,DPM.TO
1995-04-25,2.753806505992267,2.7780773639678955,2.753806505992267,2.7780773639678955,87000,0.0,0.0,DPM.TO
1995-04-26,2.778077361836934,2.778077361836934,2.707131862640381,2.707131862640381,31000,0.0,0.0,DPM.TO
1995-04-27,2.7071317139396185,2.753806352615357,2.7071317139396185,2.7538063526153564,22500,0.0,0.0,DPM.TO
