Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
1995-01-12,1.1519858611852536,1.1567400578572877,1.147597312927246,1.147597312927246,1270400,0.0,0.0,SU.TO
1995-01-13,1.147597312927246,1.1611286061152954,1.147597312927246,1.147597312927246,33600,0.0,0.0,SU.TO
1995-01-16,1.1567395863509664,1.1567395863509664,1.1428426504135132,1.1428426504135132,25600,0.0,0.0,SU.TO
1995-01-17,1.1475969791034741,1.1567397213739892,1.1475969791034741,1.1519855260849,310400,0.0,0.0,SU.TO
1995-01-18,1.147597312927246,1.147597312927246,1.147597312927246,1.147597312927246,83200,0.0,0.0,SU.TO
1995-01-19,1.1428430098715998,1.1567399501800537,1.1428430098715998,1.1567399501800537,716800,0.0,0.0,SU.TO
1995-01-20,1.1567397213739892,1.161128268355415,1.1475969791034741,1.1519855260849,1139200,0.0,0.0,SU.TO
1995-01-23,1.1428435963969077,1.1475977950663183,1.1337008476257324,1.1337008476257324,788800,0.0,0.0,SU.TO
1995-01-24,1.1336999092102051,1.1428426504135132,1.1336999092102051,1.1428426504135132,654400,0.0,0.0,SU.TO
1995-01-25,1.1519851019216139,1.1794133186340332,1.1519851019216139,1.1794133186340332,171200,0.0,0.0,SU.TO
1995-01-26,1.179414206476354,1.225127935409546,1.179414206476354,1.225127935409546,369600,0.0,0.0,SU.TO
1995-01-27,1.197699822752325,1.2115968368569756,1.197699822752325,1.2024540901184082,432000,0.0,0.0,SU.TO
1995-01-30,1.1885568288602708,1.1976995736976574,1.1841683504003453,1.193311095237732,104000,0.0,0.0,SU.TO
1995-01-31,1.2024537570032192,1.2207392454147339,1.2024537570032192,1.2207392454147339,1686400,0.0,0.0,SU.TO
1995-02-01,1.2159849793657225,1.2434132119829946,1.2159849793657225,1.2207392454147339,2947200,0.0,0.0,SU.TO
1995-02-02,1.2251283295227953,1.2342710782505775,1.2207398491954968,1.2298825979232788,1980800,0.0,0.0,SU.TO
1995-02-03,1.225127935409546,1.2298822022806222,1.2159851896229075,1.225127935409546,1753600,0.0,0.0,SU.TO
1995-02-06,1.2207392454147339,1.22512772357148,1.2207392454147339,1.2207392454147339,112000,0.0,0.0,SU.TO
1995-02-07,1.197699490954208,1.2207392454147339,1.197699490954208,1.2207392454147339,76800,0.0,0.0,SU.TO
1995-02-08,1.225127935409546,1.225127935409546,1.2159851896229075,1.225127935409546,64000,0.0,0.0,SU.TO
1995-02-09,1.2251283295227953,1.2298825979232788,1.2207398491954968,1.2298825979232788,342400,0.0,0.0,SU.TO
1995-02-10,1.2251281826584426,1.2342709302902222,1.2207397028572207,1.2342709302902222,1000000,0.0,0.0,SU.TO
1995-02-13,1.2251274866216324,1.243412971496582,1.2251274866216324,1.243412971496582,51200,0.0,0.0,SU.TO
1995-02-14,1.2298825979232788,1.2390253466510608,1.2298825979232788,1.2298825979232788,147200,0.0,0.0,SU.TO
1995-02-15,1.2298817517511291,1.243412971496582,1.2159847441841576,1.243412971496582,168000,0.0,0.0,SU.TO
1995-02-16,1.2434138269783594,1.2525565757061414,1.2251283295227953,1.2298825979232788,131200,0.0,0.0,SU.TO
1995-02-17,1.2298822022806222,1.2342706811961843,1.225127935409546,1.225127935409546,49600,0.0,0.0,SU.TO
1995-02-20,1.2251283295227953,1.2342710782505775,1.2251283295227953,1.2298825979232788,220800,0.0,0.0,SU.TO
1995-02-21,1.229882450489,1.2434136779220015,1.229882450489,1.2342709302902222,136000,0.0,0.0,SU.TO
1995-02-22,1.2434132365824953,1.2434132365824953,1.2342704921958592,1.2390247583389282,1649600,0.0,0.0,SU.TO
1995-02-23,1.2342705159042247,1.2616987495909853,1.2342705159042247,1.2573102712631226,1990400,0.0,0.0,SU.TO
1995-02-24,1.2525562047958374,1.2573104717884747,1.2525562047958374,1.2525562047958374,1851200,0.0,0.0,SU.TO
1995-02-27,1.261698950816245,1.2708416968366527,1.2525562047958374,1.2525562047958374,449600,0.0,0.0,SU.TO
1995-02-28,1.2616987495909853,1.2616987495909853,1.2525560050287319,1.2573102712631226,728000,0.0,0.0,SU.TO
1995-03-01,1.24341345877543,1.2525562047958374,1.24341345877543,1.2525562047958374,230400,0.0,0.0,SU.TO
1995-03-02,1.243412971496582,1.248167236626079,1.2342702290591072,1.243412971496582,64000,0.0,0.0,SU.TO
1995-03-03,1.2251281826584426,1.2342709302902222,1.2159854350266632,1.2342709302902222,1974400,0.0,0.0,SU.TO
1995-03-06,1.2390244941886042,1.243412971496582,1.2390244941886042,1.243412971496582,1760000,0.0,0.0,SU.TO
1995-03-07,1.2481677360977737,1.2664532282899175,1.2481677360977737,1.2616989612579346,136000,0.0,0.0,SU.TO
1995-03-08,1.2616986291749137,1.2799841165542603,1.2616986291749137,1.2799841165542603,435200,0.0,0.0,SU.TO
1995-03-09,1.2899352312088013,1.2991490542888642,1.2807214081287384,1.2899352312088013,134400,0.016875,0.0,SU.TO
